Symbol,"DFT
LDA
Etot","DFT
LDA
Ekin","DFT
LDA
Ecoul","DFT
LDA
Eenuc","DFT
LDA
Exc","DFT
LSD
Etot","DFT
LSD
Ekin","DFT
LSD
Ecoul","DFT
LSD
Eenuc","DFT
LSD
Exc","DFT
RLDA
Etot","DFT
RLDA
Ekin","DFT
RLDA
Ecoul","DFT
RLDA
Eenuc","DFT
RLDA
Exc","DFT
ScRLDA
Etot","DFT
ScRLDA
Ekin","DFT
ScRLDA
Ecoul","DFT
ScRLDA
Eenuc","DFT
ScRLDA
Exc"
Br,-2570.6207,2568.365427,1098.492305,-6149.802515,-87.675917,-2570.626651,2568.37252,1098.52183,-6149.837853,-87.683149,-2600.688476,2660.74718,1107.31508,-6282.590113,-86.160623,-2600.512192,2650.768984,1106.60884,-6271.817272,-86.072744
Kr,-2750.14794,2747.813142,1171.723688,-6577.865761,-91.819009,-2750.14794,2747.813142,1171.723688,-6577.865761,-91.819009,-2784.199238,2852.569866,1181.732417,-6728.329838,-90.171683,-2783.9873,2841.14538,1180.932299,-6715.990502,-90.074477
Rb,-2936.337293,2933.940454,1239.168864,-7013.68955,-95.757061,-2936.34216,2933.94749,1239.25849,-7013.783989,-95.76415,-2974.774466,3052.34749,1250.536581,-7183.686413,-93.972124,-2974.52126,3039.307683,1249.631696,-7169.595831,-93.864809
Sr,-3129.453161,3126.990706,1308.954372,-7465.641817,-99.756422,-3129.453161,3126.990706,1308.954372,-7465.641817,-99.756422,-3172.705798,3260.414661,1321.799184,-7657.093368,-97.826276,-3172.404762,3245.575881,1320.77952,-7641.052032,-97.70813
Y,-3329.520604,3326.984254,1384.603788,-7937.187681,-103.920964,-3329.525142,3326.989782,1384.663406,-7937.250826,-103.927504,-3378.030204,3476.837608,1398.70321,-8151.743067,-101.827955,-3377.673981,3460.017556,1397.559798,-8133.552916,-101.698418
Zr,-3536.737751,3534.12421,1464.236106,-8426.900586,-108.19748,-3536.757227,3534.14755,1464.408352,-8427.089908,-108.22322,-3590.981773,3701.937131,1479.762803,-8666.747028,-105.934679,-3590.562114,3682.931961,1478.485579,-8646.186552,-105.793101
Nb,-3751.196175,3748.49657,1551.501122,-8938.494135,-112.699732,-3751.295618,3748.618193,1552.282731,-8939.372358,-112.824183,-3811.664288,3935.847422,1568.219778,-9205.483401,-110.248086,-3811.171973,3914.455159,1566.800053,-9182.333202,-110.093984
Mo,-3973.013235,3970.231601,1638.977454,-9465.024542,-117.197748,-3973.162595,3970.410767,1640.031844,-9466.223355,-117.381851,-4040.261934,4178.913186,1657.347402,-9761.964341,-114.558181,-4039.686653,4154.87986,1655.771331,-9735.947166,-114.390678
Tc,-4202.188857,4199.331793,1724.900741,-10004.79062,-121.630774,-4202.325611,4199.49017,1725.578215,-10005.59873,-121.79527,-4276.816006,4431.276336,1745.476452,-10334.76196,-118.806839,-4276.1463,4404.321224,1743.727394,-10305.56998,-118.62494
Ru,-4438.981228,4436.031047,1824.80092,-10573.32364,-126.489556,-4439.044607,4436.105649,1825.194396,-10573.77908,-126.565569,-4521.54544,4693.065137,1846.844764,-10938.00916,-123.446179,-4520.768581,4662.961423,1844.917123,-10905.39743,-123.249697
Rh,-4683.301031,4680.264572,1923.261557,-11155.54306,-131.2841,-4683.334925,4680.304702,1923.496867,-11155.81152,-131.32497,-4774.469912,4964.562602,1947.339689,-11558.34786,-128.024344,-4773.571808,4930.989838,1945.215295,-11521.96468,-127.812259
Pd,-4935.368406,4932.234516,2031.645838,-11762.87581,-136.372955,-4935.368406,4932.234516,2031.645838,-11762.87581,-136.372955,-5035.797726,5245.950928,2057.310522,-12206.1887,-132.870481,-5034.762697,5208.615789,2054.981238,-12165.71734,-132.642382
Ag,-5195.031215,5191.8186,2131.618463,-12377.29448,-141.173794,-5195.037351,5191.826711,2131.701991,-12377.38354,-141.182511,-5305.487822,5537.467641,2160.192112,-12865.69646,-137.451114,-5304.298884,5495.98076,2157.628228,-12820.70232,-137.205548
Cd,-5462.390982,5459.099922,2233.419308,-13008.90242,-146.007788,-5462.390982,5459.099922,2233.419308,-13008.90242,-146.007788,-5583.648689,5839.236393,2265.15185,-13545.9793,-142.057637,-5582.286913,5793.217213,2262.334423,-13496.04487,-141.793682
