,material_id,formula_unedited,formula,space group,target
98,991,0.55Li2-0.45SiS2,Li1.1Si0.45S0.9,,-3.185086818724926
99,1184,0.985(0.5Li2S-0.5SiS2)-0.015Li3PO4,Li1.03S1.492Si0.5P0.015O0.06,,-4.202040356262804
100,675,Li5.5La3Ta1.75Sm0.25O12,Li5.5La3Ta1.75Sm0.25O12,230.0,-5.286509456906058
101,267,Li10.5(Sn0.2Si0.8)1.5P1.5S12,Li10.5Sn0.30000000000000004Si1.2000000000000002P1.5S12,137.0,-2.0560111249262283
102,220,Li4PS4I,Li4PS4I,129.0,-3.9208187539523753
103,46,0.9(0.6Li2S-0.4SiS2)- 0.1Li4GeO4,Li1.48S1.34Si0.4Ge0.1O0.4,,-3.4975728800155674
104,193,La0.5Li0.5TiO3,La0.5Li0.5TiO3,123.0,-3.0338582672609675
105,1135,0.45Li2S-0.25Li2O-0.3P2S5,Li1.4O0.25P0.6S1.95,,-5.292429823902063
106,1257,(Li0.39La0.54)1.006Al0.006Ti0.994O3,Li0.39234La0.5432400000000001Al0.006Ti0.994O3,,-2.9469215565165805
107,132,Li2.88PO3.73N0.14,Li2.88PO3.73N0.14,62.0,-12.0
108,1199,0.95(0.61Li2S-0.39SiS2)-0.05Li3PO4,Li1.309S1.36Si0.39P0.05O0.2,,-3.329754146925876
109,1334,Li1.4Y0.4Ti1.6(PO4)3,Li1.4Y0.4Ti1.6P3O12,,-6.527243550682788
110,0,0.14 SiS2-0.09 P2S5-0.47 Li2S-0.30 LiI,I0.3Li1.24P0.18S1.2Si0.14,,-2.7786033870301154
111,844,Li3.7Zn0.15GeO4,Li3.7Zn0.15GeO4,,-6.334419008982047
112,66,Li1.8Al0.8Ge1.2(PO4)3,Li1.8Al0.8Ge1.2P3O12,167.0,-3.8866871607020976
113,1268,(La0.5Li0.5)0.9Sr0.1TiO3,La0.45Li0.45Sr0.1TiO3,,-2.886056647693163
114,930,0.5025Li2O-0.0025Al2O3-0.095TiO2-0.4P2O5,Al0.005Li1.005O2.7P0.8Ti0.095,,-7.806875401645538
115,437,Li5.5La3Nb1.75In0.25O12,Li5.5La3Nb1.75In0.25O12,199.0,-2.0931264652779293
116,1300,La0.54Li0.36Ti0.995W0.005O3,La0.54Li0.36Ti0.995W0.005O3,,-3.5850266520291822
117,838,Li2OHBr0.8F0.2,Li2OHBr0.8F0.2,,-6.2644011003018205
118,223,Li9.42Si1.02P2.1S9.96O2.04,Li9.42Si1.02P2.1S9.96O2.04,137.0,-3.958607314841775
119,846,Li3.1Zn0.45GeO4,Li3.1Zn0.45GeO4,,-7.004803708402821
120,170,Pr0.51Li0.39TiO2.96,Pr0.51Li0.39TiO2.96,62.0,-6.272458742971444
121,54,LiGaBr4,LiGaBr4,14.0,-5.154901959985743
122,746,Li3Cl0.5Br0.5O,Li3Cl0.5Br0.5O,,-2.712198270069774
123,587,Li5.25Ba0.25La2.75Ta2O12,Li5.25Ba0.25La2.75Ta2O12,230.0,-5.219682687859849
124,483,Li6P(S4.4Se0.6)Br,Li6PS4.4Se0.6Br,216.0,-2.555955204081924
125,1151,Li2.7PO3.9,Li2.7PO3.9,,-7.154901959985743
126,480,Li6P(S4.7Se0.3)Br,Li6PS4.7Se0.3Br,216.0,-2.441291429466834
127,151,Pr0.57Li0.29TiO3,Pr0.57Li0.29TiO3,62.0,-5.543633966870957
128,123,Li3.8Si0.8Al0.2S4,Li3.8Si0.8Al0.2S4,62.0,-7.623423042943488
129,92,Li3InBr6,Li3InBr6,12.0,-3.3979291515814154
130,114,Li6La3ZrTaO12,Li6La3ZrTaO12,230.0,-3.65652201586701
131,1009,0.725Li2S-0.275P2S5,Li1.45S2.1P0.55,,-3.34582345812204
132,1315,Li1.05Al0.05Zr1.9(PO4)3,Li1.05Al0.05Zr1.9P3O12,,-6.237321436272564
133,76,Li10SnP2S12,Li10SnP2S12,137.0,-2.330908674485193
134,1317,Li1.2Al0.2Zr1.6(PO4)3,Li1.2Al0.2Zr1.6P3O12,,-5.721246399047171
135,835,Li2OHBr0.98F0.02,Li2OHBr0.98F0.02,,-5.954677021213342
136,391,Li1.05Al0.05Ti0.95(PO4)3,Li1.05Al0.05Ti0.95P3O12,167.0,-2.958607314841775
137,132,LiZr2(PO4)3,LiZr2P3O12,167.0,-7.230192746046663
138,589,Li6.25Ba1.25La1.75Ta2O12,Li6.25Ba1.25La1.75Ta2O12,230.0,-4.296708621881338
139,58,Li1.5Sc0.5Ti1.5(PO4)3,Li1.5Sc0.5Ti1.5P3O12,167.0,-4.9314400961428975
140,218,La0.63Li0.11(Mg0.5W0.5)O3,La0.63Li0.11Mg0.5W0.5O3,129.0,-5.167491087293763
141,159,Li3.5Ge0.5V0.5O4,Li3.5Ge0.5V0.5O4,62.0,-4.752026733638194
142,1168,0.33B2S3-0.67Li2S,B0.66S1.6600000000000001Li1.34,,-3.6458915608525992
