,Unnamed: 0.1,Unnamed: 0,formula_,target_,Ea (eV),space group,ICSD Entry,target,formula_preprocessed,formula,H_ratio,Ag_ratio,Hf_ratio,Co_ratio,Cu_ratio,Te_ratio,Pr_ratio,La_ratio,Nb_ratio,Sn_ratio,Sr_ratio,Se_ratio,Mn_ratio,As_ratio,Cr_ratio,Li_ratio,Br_ratio,N_ratio,I_ratio,Cl_ratio,In_ratio,Nd_ratio,Fe_ratio,S_ratio,Er_ratio,Sm_ratio,Mg_ratio,K_ratio,Ce_ratio,Mo_ratio,O_ratio,Sc_ratio,W_ratio,Al_ratio,Ge_ratio,B_ratio,Bi_ratio,Ru_ratio,Y_ratio,P_ratio,Ga_ratio,Si_ratio,C_ratio,Zn_ratio,Ba_ratio,F_ratio,V_ratio,Ca_ratio,Ta_ratio,Na_ratio,Sb_ratio,Ti_ratio,Cd_ratio,Zr_ratio
55,55,703,Li7La3Zr2O12,0.000174,0.26,230,,-3.759450752,Li7La3Zr2O12,Li7La3Zr2O12,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.2916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333
56,56,651,Li6BaLa2Ta2O12,2.45e-05,0.4,230,185602,-4.610833916,Li6BaLa2Ta2O12,Li6BaLa2Ta2O12,0,0,0,0,0,0,0,0.0869565217391304,0,0,0,0,0,0,0,0.2608695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0,0,0.0869565217391304,0,0,0,0,0
62,62,607,Li6.6La3Zr1.6Ta0.4O12,0.00073,,230,,-3.13667714,Li6.6La3Zr1.6Ta0.4O12,Li6.6La3Zr1.6Ta0.4O12,0,0,0,0,0,0,0,0.1271186440677966,0,0,0,0,0,0,0,0.2796610169491525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5084745762711864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169491525423728,0,0,0,0,0.0677966101694915
63,63,599,Li6.8La3Zr1.8Ta0.2O12,0.00028,,230,,-3.552841969,Li6.8La3Zr1.8Ta0.2O12,Li6.8La3Zr1.8Ta0.2O12,0,0,0,0,0,0,0,0.1260504201680672,0,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5042016806722689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084033613445378,0,0,0,0,0.0756302521008403
65,65,586,Li6CaLa2Nb2O12,1.6e-06,0.55,230,161386,-5.795880017,Li6CaLa2Nb2O12,Li6CaLa2Nb2O12,0,0,0,0,0,0,0,0.0869565217391304,0.0869565217391304,0,0,0,0,0,0,0.2608695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0,0
67,67,643,Li6.15La3Zr1.75Ta0.25Ga0.2O12,0.00041,0.27,230,,-3.387216143,Li6.15La3Zr1.75Ta0.25Ga0.2O12,Li6.15La3Zr1.75Ta0.25Ga0.2O12,0,0,0,0,0,0,0,0.1284796573875803,0,0,0,0,0,0,0,0.2633832976445396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5139186295503212,0,0,0,0,0,0,0,0,0,0.0085653104925053,0,0,0,0,0,0,0,0.0107066381156316,0,0,0,0,0.0749464668094218
74,74,645,Li6.75La3Zr1.75Ta0.25O12,0.00087,0.22,230,183873,-3.060480747,Li6.75La3Zr1.75Ta0.25O12,Li6.75La3Zr1.75Ta0.25O12,0,0,0,0,0,0,0,0.1263157894736842,0,0,0,0,0,0,0,0.2842105263157894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5052631578947369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105263157894736,0,0,0,0,0.0736842105263157
78,78,640,Li6(La2Sr)(NbO6)2,3.69e-06,,230,161387,-5.432973634,Li6La2SrNb2O12,Li6La2SrNb2O12,0,0,0,0,0,0,0,0.0869565217391304,0.0869565217391304,0,0.0434782608695652,0,0,0,0,0.2608695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,674,Li5.3La3Ta1.85Sm0.15O12,7.11e-06,,230,259165,-5.148130399,Li5.3La3Ta1.85Sm0.15O12,Li5.3La3Ta1.85Sm0.15O12,0,0,0,0,0,0,0,0.1345291479820627,0,0,0,0,0,0,0,0.2376681614349775,0,0,0,0,0,0,0,0,0,0.0067264573991031,0,0,0,0,0.5381165919282511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829596412556053,0,0,0,0,0
79,79,694,Li6.4La3Zr1.4Sb0.6O12,0.00066,0.36,230,,-3.180456064,Li6.4La3Zr1.4Sb0.6O12,Li6.4La3Zr1.4Sb0.6O12,0,0,0,0,0,0,0,0.1282051282051282,0,0,0,0,0,0,0,0.2735042735042735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128205128205129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,0.0598290598290598
